k2,k5,k10
117408.91822528568,125810.23499439118,118417.34884670531
121891.59358555445,116064.90308298495,121158.6051512152
123426.22625426708,117379.32338781592,118330.42116158968
121435.03985338256,121189.35239711165,117599.77439016735
132821.4849399288,121110.38741544682,116903.33121619943
132076.93117618165,114481.14691609556,121396.83572867463
128199.69025388738,116797.46598387224,115157.98692181657
136985.14551782585,114654.80340896522,117378.69966409812
126761.41762297304,119504.8453165869,120715.36348373379
124080.95509377934,121412.0534876957,119473.37125333927
120443.80002081222,119583.01074577421,123652.24883273846
121394.67008331954,120206.41782736685,117306.06799027571
121722.25089220176,123714.10588187246,118014.9046019172
125500.32507120394,123699.60488704208,117761.8614647199
127056.4646541648,117403.57842968643,118574.95397411518
121121.27452365986,119576.0832240459,115533.61396546857
137772.77896474645,120208.14696917118,115413.1347183916
125903.93977893273,116536.10971746036,121736.45664265775
125115.93811260806,117299.80764307096,119428.50128873053
121356.29247658156,120379.3858886054,120328.31828194059
130460.43617146384,123192.0238323351,118278.24874535027
131287.82879790204,115972.66419980666,120103.45054389937
119435.58132983548,118416.08105467715,122280.65474652346
118836.1100688756,121178.94411047395,121521.10592870679
126202.26126301943,123431.91287292432,119671.68233622584
123084.73214311,121983.29100331484,122734.16488395382
137579.3031563874,117425.38341450981,123235.28071348055
138044.98828966756,119371.01101251417,121095.29689618477
122438.75203597531,119559.62652647957,120769.3569547637
123279.99857693762,123322.93471525317,119556.4952666386
